title,length_in_seconds,filepath,category
Three minute breathing,215,FreeMindfulness3MinuteBreathing.mp3,Mindfulness of breath
Five minute breathing,331,MARC5MinuteBreathing.mp3,Mindfulness of breath
Five minute breathing,279,LifeHappens5MinuteBreathing.mp3,Mindfulness of breath
Six minute breath awareness,392,StillMind6MinuteBreathAwareness.mp3,Mindfulness of breath
Ten minute breathing,596,FreeMindfulness10MinuteBreathing.mp3,Mindfulness of breath
Ten minute mindfulness of breathing,601,PadraigTenMinuteMindfulnessOfBreathing.mp3,Mindfulness of breath
Brief mindfulness practice,245,PadraigBriefMindfulnessPractice.mp3,Brief mindfulness practices
The breathing space,561,VidyamalaBreathingSpace.mp3,Brief mindfulness practices
The tension release meditation,648,VidyamalaTensionRelease.mp3,Brief mindfulness practices
Three minute breathing space,214,FreeMindfulness3MinuteBreathingSpace.mp3,Brief mindfulness practices
Three minute mindfulness of sounds,182,FreeMindfulness3MinuteSounds.mp3,Brief mindfulness practices
Four minute body scan,241,StillMind4MinuteBodyScan.mp3,Body scan
Body scan,876,BreathworksBodyScan.mp3,Body scan
"Breath, sound and body",720,MARCBreathSoundBodyMeditation.mp3,Sitting meditations
"Breath, sounds, body, thoughts, emotions",1140,MARCCompleteMeditation.mp3,Sitting meditations
Ten minute wisdom meditation,626,UCSD10MinuteWisdom.mp3,Sitting meditations
Compassionate Breath,693,VidyamalaCompassionateBreath.mp3,Sitting meditations
Mountain meditation,492,FreeMindfulnessMountainMeditation.mp3,Guided imagery
Mountain meditation,437,PadraigTheMountain.mp3,Guided imagery
Five minutes just bells,332,FreeMindfulness5MinuteJustBells.mp3,Self Guided Mindfulness Exercises
Ten minutes just bells,632,FreeMindfulness10MinuteJustBells.mp3,Self Guided Mindfulness Exercises
